city,day_bucket,hour,n_orders,n_surge,avg_value,surge_rate,demand_pct_within_city,surge_pct_within_city,class
Bangalore,weekday,0,51,0,322.2549019607843,0.0,0.22916666666666666,0.03125,ALIGNED
Bangalore,weekday,1,43,2,346.09302325581393,0.046511627906976744,0.14583333333333334,0.23958333333333334,ALIGNED
Bangalore,weekday,2,49,5,343.2857142857143,0.10204081632653061,0.1875,0.6875,WASTE
Bangalore,weekday,3,50,3,373.52,0.06,0.20833333333333334,0.4791666666666667,ALIGNED
Bangalore,weekday,4,55,2,322.1818181818182,0.03636363636363636,0.25,0.10416666666666667,ALIGNED
Bangalore,weekday,5,100,3,358.64,0.03,0.375,0.08333333333333333,ALIGNED
Bangalore,weekday,6,155,6,326.50967741935483,0.03870967741935484,0.5208333333333334,0.125,ALIGNED
Bangalore,weekday,7,159,11,321.2830188679245,0.06918238993710692,0.5416666666666666,0.5416666666666666,ALIGNED
Bangalore,weekday,8,258,14,322.71317829457365,0.05426356589147287,0.6458333333333334,0.375,ALIGNED
Bangalore,weekday,9,291,12,316.26460481099656,0.041237113402061855,0.7291666666666666,0.14583333333333334,ALIGNED
Bangalore,weekday,10,307,16,329.2214983713355,0.05211726384364821,0.7916666666666666,0.3541666666666667,SUPPLY_GAP
Bangalore,weekday,11,376,22,330.1595744680851,0.05851063829787234,0.875,0.4375,SUPPLY_GAP
Bangalore,weekday,12,660,176,322.44848484848484,0.26666666666666666,0.9375,0.8333333333333334,ALIGNED
Bangalore,weekday,13,727,190,338.6767537826685,0.2613480055020633,0.9583333333333334,0.8125,ALIGNED
Bangalore,weekday,14,359,21,338.0612813370474,0.0584958217270195,0.8541666666666666,0.4166666666666667,SUPPLY_GAP
Bangalore,weekday,15,269,16,351.7657992565056,0.05947955390334572,0.6666666666666666,0.4583333333333333,ALIGNED
Bangalore,weekday,16,208,10,328.46153846153845,0.04807692307692308,0.5833333333333334,0.3125,ALIGNED
Bangalore,weekday,17,308,13,320.9577922077922,0.04220779220779221,0.8125,0.1875,SUPPLY_GAP
Bangalore,weekday,18,581,24,336.4130808950086,0.04130808950086059,0.8958333333333334,0.16666666666666666,SUPPLY_GAP
Bangalore,weekday,19,887,374,337.71364148816235,0.42164599774520856,1.0,0.8958333333333334,ALIGNED
